antecedents,consequents,antecedent support,consequent support,support,confidence,lift
frozenset({'Toilet'}),frozenset({'Fridge'}),0.916666667,0.944444444,0.916666667,1,1.058823529
frozenset({'Maindoor'}),frozenset({'Seat'}),0.638888889,0.916666667,0.611111111,0.956521739,1.043478261
frozenset({'Maindoor'}),frozenset({'Toilet'}),0.638888889,0.916666667,0.638888889,1,1.090909091
frozenset({'Microwave'}),frozenset({'Seat'}),0.583333333,0.916666667,0.583333333,1,1.090909091
frozenset({'Microwave'}),frozenset({'Shower'}),0.583333333,0.694444444,0.555555556,0.952380952,1.371428571
frozenset({'Toaster'}),frozenset({'Microwave'}),0.361111111,0.583333333,0.361111111,1,1.714285714
frozenset({'Microwave'}),frozenset({'Toilet'}),0.583333333,0.916666667,0.555555556,0.952380952,1.038961039
frozenset({'Shower'}),frozenset({'Seat'}),0.694444444,0.916666667,0.666666667,0.96,1.047272727
frozenset({'Toaster'}),frozenset({'Seat'}),0.361111111,0.916666667,0.361111111,1,1.090909091
frozenset({'Seat'}),frozenset({'Toilet'}),0.916666667,0.916666667,0.888888889,0.96969697,1.05785124
frozenset({'Toilet'}),frozenset({'Seat'}),0.916666667,0.916666667,0.888888889,0.96969697,1.05785124
frozenset({'Toaster'}),frozenset({'Shower'}),0.361111111,0.694444444,0.361111111,1,1.44
frozenset({'Shower'}),frozenset({'Toilet'}),0.694444444,0.916666667,0.666666667,0.96,1.047272727
frozenset({'Toaster'}),frozenset({'Toilet'}),0.361111111,0.916666667,0.333333333,0.923076923,1.006993007
"frozenset({' Door ', 'Basin'})",frozenset({'Bed'}),0.361111111,0.777777778,0.361111111,1,1.285714286
"frozenset({' Door ', 'Bed'})",frozenset({'Basin'}),0.361111111,0.805555556,0.361111111,1,1.24137931
frozenset({' Door '}),"frozenset({'Basin', 'Bed'})",0.361111111,0.638888889,0.361111111,1,1.565217391
"frozenset({'Cupboard', ' Door '})",frozenset({'Basin'}),0.25,0.805555556,0.25,1,1.24137931
"frozenset({' Door ', 'Basin'})",frozenset({'Fridge'}),0.361111111,0.944444444,0.361111111,1,1.058823529
"frozenset({' Door ', 'Fridge'})",frozenset({'Basin'}),0.361111111,0.805555556,0.361111111,1,1.24137931
frozenset({' Door '}),"frozenset({'Basin', 'Fridge'})",0.361111111,0.805555556,0.361111111,1,1.24137931
"frozenset({'Maindoor', ' Door '})",frozenset({'Basin'}),0.333333333,0.805555556,0.333333333,1,1.24137931
"frozenset({' Door ', 'Basin'})",frozenset({'Maindoor'}),0.361111111,0.638888889,0.333333333,0.923076923,1.444816054
frozenset({' Door '}),"frozenset({'Maindoor', 'Basin'})",0.361111111,0.527777778,0.333333333,0.923076923,1.748987854
"frozenset({' Door ', 'Basin'})",frozenset({'Seat'}),0.361111111,0.916666667,0.361111111,1,1.090909091
"frozenset({' Door ', 'Seat'})",frozenset({'Basin'}),0.361111111,0.805555556,0.361111111,1,1.24137931
frozenset({' Door '}),"frozenset({'Basin', 'Seat'})",0.361111111,0.777777778,0.361111111,1,1.285714286
"frozenset({'Shower', ' Door '})",frozenset({'Basin'}),0.222222222,0.805555556,0.222222222,1,1.24137931
"frozenset({' Door ', 'Basin'})",frozenset({'Toilet'}),0.361111111,0.916666667,0.361111111,1,1.090909091
"frozenset({' Door ', 'Toilet'})",frozenset({'Basin'}),0.361111111,0.805555556,0.361111111,1,1.24137931
frozenset({' Door '}),"frozenset({'Basin', 'Toilet'})",0.361111111,0.777777778,0.361111111,1,1.285714286
"frozenset({'Cupboard', ' Door '})",frozenset({'Bed'}),0.25,0.777777778,0.25,1,1.285714286
"frozenset({' Door ', 'Fridge'})",frozenset({'Bed'}),0.361111111,0.777777778,0.361111111,1,1.285714286
"frozenset({' Door ', 'Bed'})",frozenset({'Fridge'}),0.361111111,0.944444444,0.361111111,1,1.058823529
frozenset({' Door '}),"frozenset({'Fridge', 'Bed'})",0.361111111,0.777777778,0.361111111,1,1.285714286
"frozenset({'Maindoor', ' Door '})",frozenset({'Bed'}),0.333333333,0.777777778,0.333333333,1,1.285714286
"frozenset({' Door ', 'Bed'})",frozenset({'Maindoor'}),0.361111111,0.638888889,0.333333333,0.923076923,1.444816054
frozenset({' Door '}),"frozenset({'Maindoor', 'Bed'})",0.361111111,0.472222222,0.333333333,0.923076923,1.954751131
"frozenset({' Door ', 'Seat'})",frozenset({'Bed'}),0.361111111,0.777777778,0.361111111,1,1.285714286
"frozenset({' Door ', 'Bed'})",frozenset({'Seat'}),0.361111111,0.916666667,0.361111111,1,1.090909091
frozenset({' Door '}),"frozenset({'Seat', 'Bed'})",0.361111111,0.75,0.361111111,1,1.333333333
"frozenset({'Shower', ' Door '})",frozenset({'Bed'}),0.222222222,0.777777778,0.222222222,1,1.285714286
"frozenset({' Door ', 'Bed'})",frozenset({'Toilet'}),0.361111111,0.916666667,0.361111111,1,1.090909091
"frozenset({' Door ', 'Toilet'})",frozenset({'Bed'}),0.361111111,0.777777778,0.361111111,1,1.285714286
frozenset({' Door '}),"frozenset({'Bed', 'Toilet'})",0.361111111,0.75,0.361111111,1,1.333333333
"frozenset({'Cupboard', ' Door '})",frozenset({'Fridge'}),0.25,0.944444444,0.25,1,1.058823529
"frozenset({'Cupboard', ' Door '})",frozenset({'Seat'}),0.25,0.916666667,0.25,1,1.090909091
"frozenset({'Cupboard', ' Door '})",frozenset({'Toilet'}),0.25,0.916666667,0.25,1,1.090909091
"frozenset({'Maindoor', ' Door '})",frozenset({'Fridge'}),0.333333333,0.944444444,0.333333333,1,1.058823529
"frozenset({' Door ', 'Fridge'})",frozenset({'Maindoor'}),0.361111111,0.638888889,0.333333333,0.923076923,1.444816054
frozenset({' Door '}),"frozenset({'Maindoor', 'Fridge'})",0.361111111,0.638888889,0.333333333,0.923076923,1.444816054
"frozenset({' Door ', 'Seat'})",frozenset({'Fridge'}),0.361111111,0.944444444,0.361111111,1,1.058823529
"frozenset({' Door ', 'Fridge'})",frozenset({'Seat'}),0.361111111,0.916666667,0.361111111,1,1.090909091
frozenset({' Door '}),"frozenset({'Fridge', 'Seat'})",0.361111111,0.916666667,0.361111111,1,1.090909091
"frozenset({'Shower', ' Door '})",frozenset({'Fridge'}),0.222222222,0.944444444,0.222222222,1,1.058823529
"frozenset({' Door ', 'Fridge'})",frozenset({'Toilet'}),0.361111111,0.916666667,0.361111111,1,1.090909091
"frozenset({' Door ', 'Toilet'})",frozenset({'Fridge'}),0.361111111,0.944444444,0.361111111,1,1.058823529
frozenset({' Door '}),"frozenset({'Fridge', 'Toilet'})",0.361111111,0.916666667,0.361111111,1,1.090909091
"frozenset({'Maindoor', ' Door '})",frozenset({'Seat'}),0.333333333,0.916666667,0.333333333,1,1.090909091
"frozenset({' Door ', 'Seat'})",frozenset({'Maindoor'}),0.361111111,0.638888889,0.333333333,0.923076923,1.444816054
frozenset({' Door '}),"frozenset({'Maindoor', 'Seat'})",0.361111111,0.611111111,0.333333333,0.923076923,1.51048951
"frozenset({'Maindoor', ' Door '})",frozenset({'Toilet'}),0.333333333,0.916666667,0.333333333,1,1.090909091
"frozenset({' Door ', 'Toilet'})",frozenset({'Maindoor'}),0.361111111,0.638888889,0.333333333,0.923076923,1.444816054
frozenset({' Door '}),"frozenset({'Maindoor', 'Toilet'})",0.361111111,0.638888889,0.333333333,0.923076923,1.444816054
"frozenset({'Shower', ' Door '})",frozenset({'Seat'}),0.222222222,0.916666667,0.222222222,1,1.090909091
"frozenset({' Door ', 'Seat'})",frozenset({'Toilet'}),0.361111111,0.916666667,0.361111111,1,1.090909091
"frozenset({' Door ', 'Toilet'})",frozenset({'Seat'}),0.361111111,0.916666667,0.361111111,1,1.090909091
frozenset({' Door '}),"frozenset({'Seat', 'Toilet'})",0.361111111,0.888888889,0.361111111,1,1.125
"frozenset({'Shower', ' Door '})",frozenset({'Toilet'}),0.222222222,0.916666667,0.222222222,1,1.090909091
"frozenset({'Basin', ' Maindoor '})",frozenset({'Bed'}),0.222222222,0.777777778,0.222222222,1,1.285714286
"frozenset({' Maindoor ', 'Bed'})",frozenset({'Basin'}),0.222222222,0.805555556,0.222222222,1,1.24137931
frozenset({' Maindoor '}),"frozenset({'Basin', 'Bed'})",0.222222222,0.638888889,0.222222222,1,1.565217391
"frozenset({'Basin', ' Maindoor '})",frozenset({'Fridge'}),0.222222222,0.944444444,0.222222222,1,1.058823529
"frozenset({' Maindoor ', 'Fridge'})",frozenset({'Basin'}),0.222222222,0.805555556,0.222222222,1,1.24137931
frozenset({' Maindoor '}),"frozenset({'Basin', 'Fridge'})",0.222222222,0.805555556,0.222222222,1,1.24137931
"frozenset({'Basin', ' Maindoor '})",frozenset({'Seat'}),0.222222222,0.916666667,0.222222222,1,1.090909091
"frozenset({' Maindoor ', 'Seat'})",frozenset({'Basin'}),0.222222222,0.805555556,0.222222222,1,1.24137931
frozenset({' Maindoor '}),"frozenset({'Basin', 'Seat'})",0.222222222,0.777777778,0.222222222,1,1.285714286
"frozenset({'Basin', ' Maindoor '})",frozenset({'Toilet'}),0.222222222,0.916666667,0.222222222,1,1.090909091
"frozenset({' Maindoor ', 'Toilet'})",frozenset({'Basin'}),0.222222222,0.805555556,0.222222222,1,1.24137931
frozenset({' Maindoor '}),"frozenset({'Basin', 'Toilet'})",0.222222222,0.777777778,0.222222222,1,1.285714286
"frozenset({' Maindoor ', 'Fridge'})",frozenset({'Bed'}),0.222222222,0.777777778,0.222222222,1,1.285714286
"frozenset({' Maindoor ', 'Bed'})",frozenset({'Fridge'}),0.222222222,0.944444444,0.222222222,1,1.058823529
frozenset({' Maindoor '}),"frozenset({'Fridge', 'Bed'})",0.222222222,0.777777778,0.222222222,1,1.285714286
"frozenset({' Maindoor ', 'Seat'})",frozenset({'Bed'}),0.222222222,0.777777778,0.222222222,1,1.285714286
"frozenset({' Maindoor ', 'Bed'})",frozenset({'Seat'}),0.222222222,0.916666667,0.222222222,1,1.090909091
frozenset({' Maindoor '}),"frozenset({'Seat', 'Bed'})",0.222222222,0.75,0.222222222,1,1.333333333
"frozenset({' Maindoor ', 'Bed'})",frozenset({'Toilet'}),0.222222222,0.916666667,0.222222222,1,1.090909091
"frozenset({' Maindoor ', 'Toilet'})",frozenset({'Bed'}),0.222222222,0.777777778,0.222222222,1,1.285714286
frozenset({' Maindoor '}),"frozenset({'Bed', 'Toilet'})",0.222222222,0.75,0.222222222,1,1.333333333
"frozenset({' Maindoor ', 'Fridge'})",frozenset({'Seat'}),0.222222222,0.916666667,0.222222222,1,1.090909091
"frozenset({' Maindoor ', 'Seat'})",frozenset({'Fridge'}),0.222222222,0.944444444,0.222222222,1,1.058823529
frozenset({' Maindoor '}),"frozenset({'Seat', 'Fridge'})",0.222222222,0.916666667,0.222222222,1,1.090909091
"frozenset({' Maindoor ', 'Fridge'})",frozenset({'Toilet'}),0.222222222,0.916666667,0.222222222,1,1.090909091
"frozenset({' Maindoor ', 'Toilet'})",frozenset({'Fridge'}),0.222222222,0.944444444,0.222222222,1,1.058823529
frozenset({' Maindoor '}),"frozenset({'Fridge', 'Toilet'})",0.222222222,0.916666667,0.222222222,1,1.090909091
"frozenset({' Maindoor ', 'Seat'})",frozenset({'Toilet'}),0.222222222,0.916666667,0.222222222,1,1.090909091
"frozenset({' Maindoor ', 'Toilet'})",frozenset({'Seat'}),0.222222222,0.916666667,0.222222222,1,1.090909091
frozenset({' Maindoor '}),"frozenset({'Seat', 'Toilet'})",0.222222222,0.888888889,0.222222222,1,1.125
"frozenset({'Door', 'Basin'})",frozenset({'Bed'}),0.222222222,0.777777778,0.222222222,1,1.285714286
"frozenset({'Door', 'Bed'})",frozenset({'Basin'}),0.222222222,0.805555556,0.222222222,1,1.24137931
frozenset({'Door'}),"frozenset({'Basin', 'Bed'})",0.222222222,0.638888889,0.222222222,1,1.565217391
"frozenset({'Basin', 'Bed'})",frozenset({'Fridge'}),0.638888889,0.944444444,0.638888889,1,1.058823529
"frozenset({'Basin', 'Bed'})",frozenset({'Seat'}),0.638888889,0.916666667,0.611111111,0.956521739,1.043478261
"frozenset({'Basin', 'Bed'})",frozenset({'Toilet'}),0.638888889,0.916666667,0.611111111,0.956521739,1.043478261
"frozenset({'Cupboard', 'Basin'})",frozenset({'Fridge'}),0.527777778,0.944444444,0.527777778,1,1.058823529
"frozenset({'Microwave', 'Basin'})",frozenset({'Cupboard'}),0.444444444,0.666666667,0.416666667,0.9375,1.40625
"frozenset({'Cupboard', 'Basin'})",frozenset({'Seat'}),0.527777778,0.916666667,0.527777778,1,1.090909091
"frozenset({'Basin', 'Toaster'})",frozenset({'Cupboard'}),0.222222222,0.666666667,0.222222222,1,1.5
"frozenset({'Cupboard', 'Basin'})",frozenset({'Toilet'}),0.527777778,0.916666667,0.5,0.947368421,1.033492823
"frozenset({'Door', 'Basin'})",frozenset({'Fridge'}),0.222222222,0.944444444,0.222222222,1,1.058823529
"frozenset({'Door', 'Fridge'})",frozenset({'Basin'}),0.222222222,0.805555556,0.222222222,1,1.24137931
frozenset({'Door'}),"frozenset({'Basin', 'Fridge'})",0.222222222,0.805555556,0.222222222,1,1.24137931
"frozenset({'Door', 'Basin'})",frozenset({'Toilet'}),0.222222222,0.916666667,0.222222222,1,1.090909091
"frozenset({'Door', 'Toilet'})",frozenset({'Basin'}),0.222222222,0.805555556,0.222222222,1,1.24137931
frozenset({'Door'}),"frozenset({'Basin', 'Toilet'})",0.222222222,0.777777778,0.222222222,1,1.285714286
"frozenset({'Maindoor', 'Basin'})",frozenset({'Fridge'}),0.527777778,0.944444444,0.527777778,1,1.058823529
"frozenset({'Microwave', 'Basin'})",frozenset({'Fridge'}),0.444444444,0.944444444,0.444444444,1,1.058823529
"frozenset({'Basin', 'Seat'})",frozenset({'Fridge'}),0.777777778,0.944444444,0.777777778,1,1.058823529
"frozenset({'Basin', 'Fridge'})",frozenset({'Seat'}),0.805555556,0.916666667,0.777777778,0.965517241,1.053291536
frozenset({'Basin'}),"frozenset({'Fridge', 'Seat'})",0.805555556,0.916666667,0.777777778,0.965517241,1.053291536
"frozenset({'Shower', 'Basin'})",frozenset({'Fridge'}),0.555555556,0.944444444,0.555555556,1,1.058823529
"frozenset({'Basin', 'Toaster'})",frozenset({'Fridge'}),0.222222222,0.944444444,0.222222222,1,1.058823529
"frozenset({'Basin', 'Fridge'})",frozenset({'Toilet'}),0.805555556,0.916666667,0.777777778,0.965517241,1.053291536
"frozenset({'Basin', 'Toilet'})",frozenset({'Fridge'}),0.777777778,0.944444444,0.777777778,1,1.058823529
frozenset({'Basin'}),"frozenset({'Fridge', 'Toilet'})",0.805555556,0.916666667,0.777777778,0.965517241,1.053291536
"frozenset({'Maindoor', 'Basin'})",frozenset({'Seat'}),0.527777778,0.916666667,0.5,0.947368421,1.033492823
"frozenset({'Maindoor', 'Basin'})",frozenset({'Toilet'}),0.527777778,0.916666667,0.527777778,1,1.090909091
"frozenset({'Microwave', 'Basin'})",frozenset({'Seat'}),0.444444444,0.916666667,0.444444444,1,1.090909091
"frozenset({'Microwave', 'Basin'})",frozenset({'Shower'}),0.444444444,0.694444444,0.416666667,0.9375,1.35
"frozenset({'Basin', 'Toaster'})",frozenset({'Microwave'}),0.222222222,0.583333333,0.222222222,1,1.714285714
"frozenset({'Microwave', 'Basin'})",frozenset({'Toilet'}),0.444444444,0.916666667,0.416666667,0.9375,1.022727273
"frozenset({'Shower', 'Basin'})",frozenset({'Seat'}),0.555555556,0.916666667,0.527777778,0.95,1.036363636
"frozenset({'Basin', 'Toaster'})",frozenset({'Seat'}),0.222222222,0.916666667,0.222222222,1,1.090909091
"frozenset({'Basin', 'Seat'})",frozenset({'Toilet'}),0.777777778,0.916666667,0.75,0.964285714,1.051948052
"frozenset({'Basin', 'Toilet'})",frozenset({'Seat'}),0.777777778,0.916666667,0.75,0.964285714,1.051948052
frozenset({'Basin'}),"frozenset({'Seat', 'Toilet'})",0.805555556,0.888888889,0.75,0.931034483,1.047413793
"frozenset({'Basin', 'Toaster'})",frozenset({'Shower'}),0.222222222,0.694444444,0.222222222,1,1.44
"frozenset({'Shower', 'Basin'})",frozenset({'Toilet'}),0.555555556,0.916666667,0.527777778,0.95,1.036363636
"frozenset({'Cupboard', 'Bed'})",frozenset({'Fridge'}),0.5,0.944444444,0.5,1,1.058823529
"frozenset({'Microwave', 'Bed'})",frozenset({'Cupboard'}),0.416666667,0.666666667,0.388888889,0.933333333,1.4
"frozenset({'Cupboard', 'Bed'})",frozenset({'Seat'}),0.5,0.916666667,0.5,1,1.090909091
"frozenset({'Cupboard', 'Bed'})",frozenset({'Toilet'}),0.5,0.916666667,0.472222222,0.944444444,1.03030303
"frozenset({'Door', 'Fridge'})",frozenset({'Bed'}),0.222222222,0.777777778,0.222222222,1,1.285714286
"frozenset({'Door', 'Bed'})",frozenset({'Fridge'}),0.222222222,0.944444444,0.222222222,1,1.058823529
frozenset({'Door'}),"frozenset({'Fridge', 'Bed'})",0.222222222,0.777777778,0.222222222,1,1.285714286
"frozenset({'Door', 'Bed'})",frozenset({'Toilet'}),0.222222222,0.916666667,0.222222222,1,1.090909091
"frozenset({'Door', 'Toilet'})",frozenset({'Bed'}),0.222222222,0.777777778,0.222222222,1,1.285714286
frozenset({'Door'}),"frozenset({'Bed', 'Toilet'})",0.222222222,0.75,0.222222222,1,1.333333333
"frozenset({'Maindoor', 'Bed'})",frozenset({'Fridge'}),0.472222222,0.944444444,0.472222222,1,1.058823529
"frozenset({'Microwave', 'Bed'})",frozenset({'Fridge'}),0.416666667,0.944444444,0.416666667,1,1.058823529
"frozenset({'Seat', 'Bed'})",frozenset({'Fridge'}),0.75,0.944444444,0.75,1,1.058823529
"frozenset({'Fridge', 'Bed'})",frozenset({'Seat'}),0.777777778,0.916666667,0.75,0.964285714,1.051948052
frozenset({'Bed'}),"frozenset({'Fridge', 'Seat'})",0.777777778,0.916666667,0.75,0.964285714,1.051948052
"frozenset({'Shower', 'Bed'})",frozenset({'Fridge'}),0.527777778,0.944444444,0.527777778,1,1.058823529
"frozenset({'Fridge', 'Bed'})",frozenset({'Toilet'}),0.777777778,0.916666667,0.75,0.964285714,1.051948052
"frozenset({'Bed', 'Toilet'})",frozenset({'Fridge'}),0.75,0.944444444,0.75,1,1.058823529
frozenset({'Bed'}),"frozenset({'Fridge', 'Toilet'})",0.777777778,0.916666667,0.75,0.964285714,1.051948052
"frozenset({'Maindoor', 'Bed'})",frozenset({'Seat'}),0.472222222,0.916666667,0.444444444,0.941176471,1.026737968
"frozenset({'Maindoor', 'Bed'})",frozenset({'Toilet'}),0.472222222,0.916666667,0.472222222,1,1.090909091
"frozenset({'Microwave', 'Bed'})",frozenset({'Seat'}),0.416666667,0.916666667,0.416666667,1,1.090909091
"frozenset({'Microwave', 'Bed'})",frozenset({'Shower'}),0.416666667,0.694444444,0.388888889,0.933333333,1.344
"frozenset({'Microwave', 'Bed'})",frozenset({'Toilet'}),0.416666667,0.916666667,0.388888889,0.933333333,1.018181818
"frozenset({'Shower', 'Bed'})",frozenset({'Seat'}),0.527777778,0.916666667,0.5,0.947368421,1.033492823
"frozenset({'Seat', 'Bed'})",frozenset({'Toilet'}),0.75,0.916666667,0.722222222,0.962962963,1.050505051
"frozenset({'Bed', 'Toilet'})",frozenset({'Seat'}),0.75,0.916666667,0.722222222,0.962962963,1.050505051
frozenset({'Bed'}),"frozenset({'Seat', 'Toilet'})",0.777777778,0.888888889,0.722222222,0.928571429,1.044642857
"frozenset({'Shower', 'Bed'})",frozenset({'Toilet'}),0.527777778,0.916666667,0.5,0.947368421,1.033492823
"frozenset({'Cabinet', 'Cooktop'})",frozenset({'Cupboard'}),0.25,0.666666667,0.25,1,1.5
"frozenset({'Cabinet', 'Cooktop'})",frozenset({'Fridge'}),0.25,0.944444444,0.25,1,1.058823529
"frozenset({'Cabinet', 'Cooktop'})",frozenset({'Microwave'}),0.25,0.583333333,0.25,1,1.714285714
"frozenset({'Cabinet', 'Cooktop'})",frozenset({'Seat'}),0.25,0.916666667,0.25,1,1.090909091
"frozenset({'Cabinet', 'Cooktop'})",frozenset({'Shower'}),0.25,0.694444444,0.25,1,1.44
"frozenset({'Cabinet', 'Cooktop'})",frozenset({'Toaster'}),0.25,0.361111111,0.25,1,2.769230769
"frozenset({'Cabinet', 'Fridge'})",frozenset({'Cupboard'}),0.305555556,0.666666667,0.305555556,1,1.5
"frozenset({'Cabinet', 'Cupboard'})",frozenset({'Fridge'}),0.305555556,0.944444444,0.305555556,1,1.058823529
frozenset({'Cabinet'}),"frozenset({'Cupboard', 'Fridge'})",0.305555556,0.666666667,0.305555556,1,1.5
"frozenset({'Maindoor', 'Cabinet'})",frozenset({'Cupboard'}),0.25,0.666666667,0.25,1,1.5
"frozenset({'Microwave', 'Cabinet'})",frozenset({'Cupboard'}),0.305555556,0.666666667,0.305555556,1,1.5
"frozenset({'Cabinet', 'Cupboard'})",frozenset({'Microwave'}),0.305555556,0.583333333,0.305555556,1,1.714285714
frozenset({'Cabinet'}),"frozenset({'Microwave', 'Cupboard'})",0.305555556,0.555555556,0.305555556,1,1.8
"frozenset({'Cabinet', 'Seat'})",frozenset({'Cupboard'}),0.305555556,0.666666667,0.305555556,1,1.5
"frozenset({'Cabinet', 'Cupboard'})",frozenset({'Seat'}),0.305555556,0.916666667,0.305555556,1,1.090909091
frozenset({'Cabinet'}),"frozenset({'Cupboard', 'Seat'})",0.305555556,0.666666667,0.305555556,1,1.5
"frozenset({'Shower', 'Cabinet'})",frozenset({'Cupboard'}),0.305555556,0.666666667,0.305555556,1,1.5
"frozenset({'Cabinet', 'Cupboard'})",frozenset({'Shower'}),0.305555556,0.694444444,0.305555556,1,1.44
frozenset({'Cabinet'}),"frozenset({'Shower', 'Cupboard'})",0.305555556,0.555555556,0.305555556,1,1.8
"frozenset({'Cabinet', 'Cupboard'})",frozenset({'Toaster'}),0.305555556,0.361111111,0.305555556,1,2.769230769
"frozenset({'Cabinet', 'Toaster'})",frozenset({'Cupboard'}),0.305555556,0.666666667,0.305555556,1,1.5
frozenset({'Cabinet'}),"frozenset({'Cupboard', 'Toaster'})",0.305555556,0.361111111,0.305555556,1,2.769230769
"frozenset({'Cabinet', 'Toilet'})",frozenset({'Cupboard'}),0.277777778,0.666666667,0.277777778,1,1.5
"frozenset({'Cabinet', 'Cupboard'})",frozenset({'Toilet'}),0.305555556,0.916666667,0.277777778,0.909090909,0.991735537
frozenset({'Cabinet'}),"frozenset({'Cupboard', 'Toilet'})",0.305555556,0.638888889,0.277777778,0.909090909,1.422924901
"frozenset({'Maindoor', 'Cabinet'})",frozenset({'Fridge'}),0.25,0.944444444,0.25,1,1.058823529
"frozenset({'Microwave', 'Cabinet'})",frozenset({'Fridge'}),0.305555556,0.944444444,0.305555556,1,1.058823529
